MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,      1010.49,      1010.50,      1010.50,      1010.50,      1010.50,                    10105.00,10, ,2,      1075.00,       990.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1079.91,      1079.91,      1079.91,      1079.91,      1079.91,                    53995.50,50, ,2,      1140.00,       984.70
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,      1050.00,      1020.20,      1026.00,      1020.20,      1026.00,                    36873.00,36, ,3,      1099.00,       931.00
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1018.00,      1030.00,      1030.00,      1030.00,      1030.00,                    51500.00,50, ,4,      1089.99,       920.20
N,N5,830PFCL27,8.30% TAX FREE NCD,      1067.85,      1068.50,      1070.00,      1068.50,      1069.00,                  1582840.69,1480, ,13,      1119.90,      1029.21
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       999.00,      1009.71,      1009.71,      1009.71,      1009.71,                   100971.00,100, ,1,      1029.59,       896.25
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       998.12,       999.10,      1001.70,       998.00,       999.25,                  1813689.38,1816, ,32,      1004.98,       810.60
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1082.80,      1082.80,      1082.80,      1082.80,      1082.80,                   476432.00,440, ,8,      1085.00,       973.20
N,N6,704IRFC28,BOND 7.04% PA TAX FREE S2,      1065.00,      1060.60,      1060.60,      1060.60,      1060.60,                     1060.60,1, ,1,      1260.00,      1027.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1099.00,      1100.00,      1105.84,      1100.00,      1100.97,                   406187.83,369, ,15,      1279.99,      1079.00
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1265.00,      1264.99,      1265.00,      1264.99,      1265.00,                   657797.50,520, ,5,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1223.19,      1235.00,      1235.00,      1235.00,      1235.00,                    61750.00,50, ,1,      1520.00,      1181.12
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6260.00,      6250.00,      6290.00,      6249.00,      6289.00,                  2312624.00,369, ,15,      7390.00,      6030.10
N,N6,CAGL27A,SEC RE NCD SR. VI,      1388.20,      1411.80,      1420.00,      1411.80,      1420.00,                    84954.00,60, ,2,      1420.00,      1095.91
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,      1550.00,      1551.00,      1551.00,      1551.00,      1551.00,                     4653.00,3, ,1,      1770.00,      1326.00
N,N6,SCL01825,SCL 0% 2027 SR III,      1048.00,      1040.00,      1050.00,      1040.00,      1050.00,                    20900.00,20, ,2,      1055.38,       890.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1064.55,      1065.25,      1065.25,      1065.00,      1065.00,                   104370.25,98, ,3,      1182.00,      1040.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1139.00,      1110.00,      1110.00,      1085.01,      1085.01,                    79370.22,72, ,4,      1165.00,      1015.00
N,N7,NIDOZC26,SEC RED NCD SR. VII,      2538.57,      2549.00,      2549.00,      2540.00,      2542.00,                  3090786.00,1215, ,15,      2549.00,      1920.21
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1299.00,      1123.00,      1123.00,      1123.00,      1123.00,                   645725.00,575, ,1,      1299.00,       981.20
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1118.00,      1115.01,      1119.79,      1115.01,      1119.79,                   340341.15,305, ,4,      1175.00,      1083.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1030.00,      1032.00,      1032.00,      1025.00,      1025.00,                    21595.00,21, ,3,      1107.50,       986.70
N,N8,865SCL26,SEC RED NCD 8.65% SR. V,       995.31,       996.00,      1000.00,       996.00,      1000.00,                   787600.00,790, ,9,      1020.00,       930.40
N,N8,892PFCL33,8.92% TAX FREE NCD,      1271.85,      1270.01,      1277.00,      1270.01,      1274.32,                   211441.34,166, ,14,      1343.00,      1219.99
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       984.23,       995.00,       995.00,       993.20,       993.20,                   100315.00,101, ,2,      1000.00,       961.30
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1113.50,      1110.00,      1113.00,      1110.00,      1112.84,                   406793.00,366, ,11,      1179.99,      1075.00
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1095.00,      1096.00,      1099.00,      1096.00,      1098.00,                  2470568.81,2251, ,14,      1160.00,      1075.10
N,NA,84TCHF28,SEC RED NCD 8.40% SR.V,      1060.00,      1041.00,      1041.00,      1041.00,      1041.00,                   114510.00,110, ,2,      1099.00,      1000.10
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1091.81,      1093.80,      1093.80,      1093.00,      1093.63,                    16405.30,15, ,4,      1182.95,      1060.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1098.96,      1098.96,      1098.96,      1088.00,      1088.00,                   396076.64,362, ,9,      1157.00,      1032.00
N,NA,957IIFLS27,SEC RE NCD 9.57% SR III,       998.00,       998.00,       998.00,       998.00,       998.00,                   116766.00,117, ,2,      1005.00,       900.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1046.00,      1058.00,      1058.00,      1058.00,      1058.00,                   329038.00,311, ,2,      1064.75,       950.00
N,NA,AEL17725,AEL 0% 2027 SR II,      1072.22,      1073.03,      1073.03,      1073.03,      1073.03,                    13949.39,13, ,3,      1073.03,       861.20
N,NB,10IIFLSF27,SEC RE NCD 10.00% SR IV,      1085.80,      1045.00,      1045.00,      1045.00,      1045.00,                    52250.00,50,XI,1,      1286.40,       885.00
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1005.00,      1002.00,      1004.00,      1001.70,      1002.22,                    82233.94,82, ,4,      1130.00,       986.38
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1010.00,      1008.00,      1020.00,       998.00,      1007.00,                  1341049.36,1337, ,43,      1200.00,       851.00
N,NC,730PFCL41,PFCL 7.30% 2041 SR IV,       955.10,       955.11,       970.00,       955.11,       970.00,                    41293.18,43, ,5,       999.00,       775.00
N,NC,843IHFL29,SEC RE NCD 8.43% SR.VI,       984.00,       984.00,       984.00,       984.00,       984.00,                    29520.00,30, ,1,       998.99,       862.01
N,NC,885TCAPS29,UNSERENCD8.85%SRIVCIII&IV,      1064.00,      1080.00,      1080.00,      1080.00,      1080.00,                    43200.00,40, ,1,      1190.00,       955.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1080.10,      1080.00,      1080.10,      1070.00,      1070.00,                   422350.05,392, ,6,      1098.00,       990.60
N,ND,1050IIFL29,SEC RE NCD 10.50% SR VI,      1095.00,      1025.00,      1025.00,      1022.99,      1022.99,                   628097.87,613,XI,8,      1104.00,       852.30
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1205.00,      1200.01,      1200.01,      1200.01,      1200.01,                   188401.57,157, ,1,      1270.00,      1152.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1122.00,      1121.00,      1121.00,      1121.00,      1121.00,                   283613.00,253, ,9,      1178.89,      1072.00
N,ND,965SCL30,SCL 9.65% 2030 SR VII,      1063.64,      1063.64,      1065.00,      1062.00,      1065.00,                   177740.48,167, ,7,      1065.00,       990.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1020.00,      1023.00,      1023.00,      1019.80,      1020.00,                   188773.40,185, ,8,      1123.00,       983.00
N,ND,AEL170725,AEL 0% 2028 SR V,      1073.26,      1074.06,      1074.06,      1074.06,      1074.06,                    31147.74,29, ,1,      1074.06,       995.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1009.80,      1020.00,      1020.00,      1019.50,      1019.50,                   101997.50,100, ,5,      1100.05,       950.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1137.75,      1139.90,      1139.90,      1139.90,      1139.90,                     1139.90,1, ,1,      1189.00,      1087.19
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1107.00,      1108.00,      1108.00,      1108.00,      1108.00,                     3324.00,3, ,1,      1354.90,      1084.61
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1270.00,      1269.00,      1269.00,      1269.00,      1269.00,                    25380.00,20, ,1,      1345.00,      1217.10
N,NE,9AEL30,AEL 9% 2030 SR VI,      1048.80,      1032.05,      1032.05,      1032.00,      1032.00,                     8256.25,8, ,2,      1110.00,       995.00
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1138.00,      1134.99,      1134.99,      1134.99,      1134.99,                   113499.00,100, ,1,      1198.99,      1083.00
N,NF,930AEL30,AEL 9.3% 2030 SR VII,      1091.00,      1092.00,      1100.00,      1092.00,      1100.00,                   109600.00,100, ,2,      1101.00,       990.10
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,      1002.99,      1000.00,      1001.25,      1000.00,      1001.00,                   883205.50,883, ,16,      1004.95,       890.00
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1624.91,      1600.00,      1600.00,      1600.00,      1600.00,                   160000.00,100, ,2,      1677.00,      1370.01
N,NH,1050UCL28,UCL 10.50% SR V,      1013.00,      1001.20,      1001.20,      1001.20,      1001.20,                    10012.00,10, ,1,      1055.00,       951.10
N,NH,743REC35,7.43% TAX FREE TRI SR3B,      1185.10,      1189.90,      1189.90,      1189.90,      1189.90,                    59495.00,50, ,1,      1237.00,      1134.01
N,NH,878MFL27,MFL 8.78% 2027,    100000.00,    100669.00,    100669.00,    100669.00,    100669.00,                  1107359.00,11, ,2,    100669.00,    100669.00
N,NH,87LTF27,SERENCD 8.70% SR.VII OPII,      1077.95,      1077.95,      1077.95,      1077.95,      1077.95,                    10779.50,10, ,1,      1130.00,      1010.00
