MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       133.13,       129.80,       135.00,       129.80,       132.29,                431488958.39,3264486,27196,       158.00,        81.26,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,        11.28,        11.56,        11.56,        11.02,        11.15,                  7607886.64,680543,1131,        12.66,         8.02,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWCHEM,GROWWAMC - GROWWCHEM,        28.89,        29.09,        29.30,        28.62,        29.13,                   895571.66,30769,251,        30.95,        24.64,NIFTY CHEMICALS INDEX - TRI
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        90.84,        91.56,        91.57,        90.21,        90.96,                 18749147.06,206134,2815,        95.00,        71.78,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        30.57,        30.66,        30.94,        30.41,        30.75,                  7581218.76,247020,1776,        32.38,        24.00,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,        15.17,        15.13,        15.13,        15.02,        15.08,                 49177272.80,3261847,4118,       179.96,        12.71,COMMODITY
N,EQ,GROWWHOSPI,GROWWAMC - GROWWHOSPI,        50.52,        50.79,        51.30,        50.02,        50.94,                  8376054.28,164636,737,        52.90,        43.35,BSE HOSPITALS INDEX
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       109.33,       109.87,       109.87,       107.56,       109.37,                131476747.19,1202024,258,       110.90,       102.89,NIFTY 1D RATE INDEX
N,EQ,GROWWLOVOL,GROWWAMC - GROWWLOVOL,        10.08,        10.28,        10.30,         9.93,        10.13,                    83091.19,8220,104,        11.50,         9.00,NIFTY 500 LOW VOLATILITY 50 INDEX   TRI
N,EQ,GROWWMC150,GROWWAMC - GROWWMC150,       224.10,       224.00,       224.75,       220.28,       222.71,                  1869948.23,8406,71,       245.00,       193.60,NIFTY MIDCAP 150 INDEX - TRI
N,EQ,GROWWMETAL,GROWWAMC - GROWWMETAL,        12.78,        13.00,        13.06,        12.47,        12.65,                 25523593.65,2020455,2623,        13.45,        10.03,NIFTY METAL INDEX
N,EQ,GROWWMOM50,GROWWAMC - GROWWMOM50,        10.51,        10.51,        10.70,        10.30,        10.52,                   826540.77,78453,561,        12.00,         9.12,NIFTY 500 MOMENTUM 50 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWN200,GROWWAMC - GROWWN200,        10.91,        10.91,        11.10,        10.90,        10.98,                   452792.86,41220,335,        12.14,         9.91,NIFTY 200 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWNET,GROWWAMC - GROWWNET,         8.88,         8.80,         9.06,         8.77,         8.80,                  1424292.11,160612,571,        12.14,         7.94,INDEX
N,EQ,GROWWNIFTY,GROWWAMC - GROWWNIFTY,         9.43,         9.66,         9.66,         9.37,         9.41,                  6022458.68,637706,1756,        11.88,         8.93,NIFTY 50 INDEX - TRI
N,EQ,GROWWNXT50,GROWWAMC - GROWWNXT50,        69.83,        70.52,        71.45,        69.85,        70.43,                   156352.11,2213,105,        72.58,        60.01,INDEX
N,EQ,GROWWPOWER,GROWWAMC - GROWWPOWER,        12.25,        12.39,        12.39,        12.16,        12.30,                 39412268.51,3210375,2622,        13.20,         7.75,BSE POWER INDEX - TRI
N,EQ,GROWWPSE,GROWWAMC - GROWWPSE,       101.65,       101.02,       102.00,       100.91,       101.60,                   242174.62,2386,86,       109.85,        93.20,NIFTY PSE INDEX - TRI
N,EQ,GROWWPSUBK,GROWWAMC - GROWWPSUBK,        82.37,        83.97,        83.97,        80.72,        83.34,                  1847062.19,22176,496,        91.19,        78.06,NIFTY PSU BANK INDEX - TRI
N,EQ,GROWWRAIL,GROWWAMC - GROWWRAIL,        29.50,        29.70,        29.96,        29.49,        29.65,                 16766329.72,564409,3366,        41.23,        27.80,NIFTY INDIA RAILWAYS PSU INDEX
N,EQ,GROWWRLTY,GROWWAMC - GROWWRLTY,         8.56,         8.56,         8.73,         8.52,         8.60,                   994192.61,114967,392,        11.30,         7.17,INDEX
N,EQ,GROWWSC250,GROWWAMC - GROWWSC250,         9.81,        10.05,        10.05,         9.71,         9.79,                  1717697.44,174790,446,        10.47,         8.00,NIFTY SMALLCAP 250 INDEX - TRI
N,EQ,GROWWSLVR,GROWWAMC - GROWWSLVR,        25.27,        25.03,        25.12,        24.68,        24.94,                 58621302.40,2347590,4032,       362.99,        19.27,COMMODITY-SILVER
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       259.27,       259.95,       259.99,       259.94,       259.99,                    32236.82,124,6,       265.36,       252.23,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
